clasa,c1,c2,c3,c4,c5,c6,c7,c8
M,100033,14331,5892,1630,216,4,0,0
M,10864,17321,6150,2235,597,189,149,28
B,0,0,310,3407,3421,1857,149,0
B,94,1405,2253,1041,239,152,187,30
M,248,4756,4692,3161,1571,1062,442,107
B,0,401,1933,926,275,71,13,0
M,18930,15860,10243,7748,1981,489,250,30
M,10490,7052,5904,3523,2052,528,141,20
M,536,8973,2750,927,101,0,122,34
B,0,0,2481,8350,5250,2534,681,22
B,828,3931,2705,815,286,158,151,20
M,510,7857,18867,16623,7207,1245,195,0
B,4855,9141,7544,2610,1091,260,87,0
B,108,2294,2327,335,81,40,93,21
B,96,2161,319,83,63,28,0,0
B,0,8,431,205,115,173,31,1
B,4694,3825,1579,219,143,120,43,0
B,1311,1366,744,453,179,139,74,0
B,70,1062,1627,839,174,144,162,32
B,10821,2400,822,321,136,104,4,0
B,1616,711,337,227,133,115,52,25
B,8877,1427,542,189,69,12,0,0
M,7624,13126,5825,4510,1398,457,250,66
M,1284,4506,13510,21996,7613,2011,406,90
B,4868,6112,2850,720,289,165,127,24
M,310,8306,6328,3984,1405,399,27,0
B,223,2360,982,197,101,146,111,6
B,43759,4662,895,200,43,28,0,0
M,113,4522,4391,2231,1220,628,253,47
M,42056,11713,2447,578,120,3,0,0
B,752,216,135,100,43,10,0,0
B,3690,7381,2302,423,211,50,100,11
M,7905,13603,11513,6590,1743,323,40,0
M,347,4075,4148,3393,2172,1168,411,109
B,31977,11459,5473,3527,2848,3071,1443,1059
B,2,1235,576,286,156,51,12,0
M,5745,10718,9728,3271,819,215,48,0
M,21425,30544,15948,7561,3879,893,131,0
B,15,1262,3846,8545,5670,1933,733,289
M,1044,13657,8805,4042,1602,216,24,0
B,7158,1180,212,39,0,0,0,0
B,0,5,1417,2303,652,228,56,2
B,1446,3668,1586,457,288,216,168,22
M,6891,7172,3522,1004,297,103,34,0
M,24723,17337,9435,2075,454,314,7,0
B,4416,9691,6531,2106,583,374,169,20
B,3073,7774,5634,3310,1202,445,225,37
B,5028,5101,1413,650,469,676,200,6
B,16073,35479,48304,25720,7631,2646,460,35
B,2518,23206,28783,3957,856,737,137,0
B,3639,2687,1414,1079,1409,495,346,27
M,747,4502,4411,961,188,47,7,0
M,63,1907,3165,1475,525,64,46,0
M,3389,8151,7497,5636,2665,851,35,0
B,0,444,4099,6529,1783,690,323,7
M,0,5,651,439,110,12,29,0
M,69792,15108,4083,724,103,17,0,0
B,1,227,480,897,283,65,29,1
B,0,206,1303,1109,498,208,11,0
B,0,0,3,2064,10396,5530,763,23
M,61,4591,4845,1958,814,295,63,0
M,40127,22014,11702,8315,2225,248,22,0
B,32307,15506,3495,562,33,0,0,0
M,420,8513,11839,11172,2420,225,41,0
B,12010,6239,2798,831,93,0,72,12
M,17046,20997,20540,10289,3512,731,216,0
B,1035,3976,4726,3674,2542,1434,441,23
B,3894,21084,14536,5079,1487,1230,408,82
B,2588,565,234,146,90,13,0,0
M,0,937,4678,4339,1486,768,430,52
B,1694,9049,2569,587,63,0,0,0
B,5,1208,1270,435,55,25,56,20
M,44999,18954,12778,7476,2133,778,77,0
M,15589,10293,3619,3055,1248,631,63,0
B,642,12816,24031,12261,5125,1870,230,6
B,3702,557,224,19,0,0,0,0
B,15871,10410,4478,1130,229,81,44,0
B,66353,6845,2939,1695,929,355,36,0
B,6319,14173,9441,2709,430,216,157,12
B,2204,713,148,24,0,0,23,3
M,12480,9927,1814,158,9,0,0,0
B,0,65,18017,56372,13872,5571,1311,0
B,0,62,3359,2632,849,422,142,7
B,2749,2735,1221,269,101,46,109,25
B,12157,13489,8407,3012,1260,510,362,43
B,9,1196,1276,515,118,82,89,35
B,12782,1545,731,370,59,2,0,0
B,1161,5674,3942,958,193,51,104,5
B,178,1716,1499,468,243,130,83,23
B,222,2424,2074,703,317,130,104,12
B,556,405,174,87,23,12,0,0
B,1048,991,188,0,0,0,0,0
B,339,6424,4475,1147,565,340,442,172
M,38480,18678,3933,862,166,45,0,0
B,1828,5747,3109,853,286,272,179,28
M,19684,9281,6724,5051,4207,3684,3298,604
B,2742,373,149,80,43,38,25,0
B,388,4124,1526,695,213,67,9,0
B,69,1952,390,319,329,517,678,78
B,0,622,7348,42975,31733,6985,788,80
B,26025,15928,2809,1329,634,84,0,0
B,29657,2202,775,153,83,38,10,0
B,44299,53626,59825,28291,12967,5753,3158,602
M,216,6060,21190,31141,19124,6516,942,18
B,12293,5373,786,108,37,19,0,0
M,4788,19800,8884,3543,949,150,3,0
M,2837,14775,3986,675,192,41,17,0
B,7383,474,114,12,0,0,0,0
B,15006,6420,2750,1119,232,125,10,0
M,0,1126,3051,2830,3254,2360,1470,833
B,199,3908,3468,1805,444,86,88,6
M,32230,36787,6343,1335,409,46,0,0
M,6621,10994,11295,4891,1752,104,0,0
M,58012,18537,4654,1249,258,0,0,0
M,107,2929,4702,2013,1462,441,149,8
B,1599,5070,1610,420,205,42,0,0
M,867,1927,1586,473,149,23,0,0
B,79,960,3863,2026,467,303,203,8
B,0,44,3151,8099,597,239,82,1
M,11706,9704,4998,1628,354,34,114,23
B,32114,51824,58756,26539,12117,6053,3189,599
B,6498,2079,710,317,96,17,2,0
B,0,419,1337,1609,382,164,182,5
B,8772,1139,277,111,74,1,0,0
B,2800,9893,6174,3336,1149,803,526,80
M,5406,6652,6835,12149,8256,5833,2451,190
M,130,1201,1637,1456,438,101,8,0
B,11993,7426,1300,475,277,47,17,0
B,3793,668,37,0,0,0,0,0
B,3645,2787,1907,1946,2487,1306,598,28
B,10221,7170,1323,287,134,80,15,0
B,7441,38134,22008,10373,2280,296,16,0
B,29696,2442,1178,387,241,152,73,75
B,4437,19918,23515,14975,3873,718,39,0
B,31061,14193,3318,905,215,30,0,0
B,3369,381,153,81,86,34,99,30
B,1788,802,152,69,11,7,1,0
B,0,1179,5033,2897,1059,343,30,0
B,30370,1680,626,510,336,60,18,2
B,669,2320,640,43,14,0,0,0
M,2480,9543,4603,1487,429,122,0,0
B,534,1007,240,146,81,39,13,0
B,166,1098,703,386,271,147,31,0
M,53,4258,7449,4419,2207,716,101,0
B,6,850,2145,888,282,196,121,18
B,2,303,2874,4321,1113,297,166,7
B,0,0,935,1128,261,117,18,0
B,588,532,157,75,57,6,0,0
B,2109,4605,863,362,163,128,76,0
B,8885,6466,3272,1902,1462,516,4,0
B,2058,535,239,133,125,19,0,0
B,4140,518,52,0,0,0,0,0
B,539,9752,7734,1848,475,273,50,7
M,4178,26271,15514,7681,2319,1065,486,25
M,47,1162,5183,4153,2320,686,31,0
B,1167,607,103,12,1,0,0,0
M,0,1377,11567,5031,1071,329,236,18
M,10702,6948,2030,383,78,0,0,0
B,741,548,63,35,9,0,0,0
M,14829,23495,17356,7395,2587,1887,226,0
B,1060,965,454,179,61,7,0,0
B,0,18,235,2177,9530,2824,149,18
B,2019,11378,12884,5717,830,287,291,30
M,331,2969,1445,321,71,54,72,10
M,10372,6630,4993,3114,2057,369,128,45
B,6069,2581,348,50,0,0,0,0
M,21953,13397,3330,661,95,2,0,0
M,472,5564,7207,8936,5311,2801,1121,159
B,8610,1282,306,65,0,0,0,0
B,329,668,653,229,214,167,163,0
B,2883,12006,4018,1231,138,14,0,0
B,9013,12398,5935,2573,721,29,0,0
M,689,3405,7638,7468,3866,1874,329,8
B,204,12153,12253,5627,2266,776,88,0
B,6,1182,4027,2379,553,87,3,0
B,210,4725,5992,5812,1441,764,359,35
M,36689,23938,17998,10199,4509,2079,492,3
B,7837,4313,3007,1987,976,246,5,0
B,1084,359,390,371,109,2,0,0
B,8340,4186,3952,1671,602,169,15,0
M,29045,15424,3788,677,9,0,0,0
M,33624,17704,8960,2693,764,47,8,0
B,4656,12916,7648,2227,302,27,0,0
B,0,0,1125,3630,5106,507,11,0
M,3089,3665,5448,11403,9105,549,36,2
M,22447,8181,6839,3666,1553,425,30,0
B,0,262,7187,7087,1897,1077,304,0
B,2942,3612,998,340,224,85,0,0
B,2695,693,168,52,13,0,0,0
M,20345,13465,6514,4363,1431,174,33,0
M,10698,13681,13742,11355,2646,649,223,4
B,91,505,164,84,44,5,0,0
M,721,14322,23449,7921,3370,2151,1088,57
M,28626,15836,5507,3282,1184,207,72,1
B,45536,10530,3809,624,149,86,12,0
M,22268,11213,7855,5531,1934,1094,211,0
B,1075,11165,5910,1588,579,186,77,0
M,0,1246,2278,2053,2081,582,87,0
B,0,839,11570,14182,2852,1104,223,0
B,5520,7725,3100,1015,310,52,134,52
B,7854,10471,9571,6124,3438,1801,669,14
B,0,0,340,4339,819,3,0,0
B,24111,10010,812,675,427,265,185,0
B,6833,8365,3546,856,322,262,194,14
B,38698,26809,1924,263,33,46,282,20
M,281,5086,2770,2079,1602,469,34,0
B,839,6838,13085,8093,3102,552,120,0
B,9628,1223,213,95,39,85,3,0
M,363,11959,13925,4138,1093,300,172,48
B,422,2179,2405,3276,1967,373,27,0
M,2655,10106,9973,5720,2509,684,2,0
M,873,4838,5328,3870,2027,1171,241,0
B,1,1624,6785,4776,1262,767,50,0
B,6365,3986,1005,260,50,4,0,0
B,2131,1316,373,30,0,0,0,0
M,509,2536,1557,418,153,76,119,29
M,611,8953,21701,17343,7639,1608,397,59
B,114,8274,17167,8022,1906,279,1,0
M,0,254,1750,3009,1271,889,332,7
B,0,180,2486,4982,2158,591,124,2
M,15377,11515,10093,6233,3281,720,232,5
M,14418,543,25,0,0,0,0,0
B,5,1179,488,236,191,147,59,40
B,79,633,162,83,79,55,2,0
B,2592,2332,653,483,187,145,98,0
B,2814,1126,578,558,300,129,157,0
M,0,525,1978,1563,675,260,66,8
B,184,1143,520,246,153,135,42,0
B,0,0,1833,7918,7532,1818,108,0
B,0,662,968,253,163,100,20,0
B,1941,6941,4494,2505,2274,2456,1537,6
M,5910,11033,5847,2966,1410,266,0,0
B,26,1067,2883,1053,130,56,65,5
M,49066,14297,7373,2717,686,40,0,0
M,0,1054,8681,4035,931,274,274,45
B,29396,2866,406,143,120,127,39,0
B,929,9537,13094,9588,3995,1026,247,3
B,2959,13003,5473,1258,153,5,95,13
B,13719,13657,3876,1371,682,36,0,0
B,0,0,779,2382,1175,564,263,97
B,68,1056,421,341,128,50,44,0
B,0,315,4870,5466,2876,4451,3211,538
B,6384,18756,18895,10448,2636,1153,435,89
M,2,1594,5694,5131,3466,1881,428,88
B,5430,2387,1025,425,296,10,0,0
B,849,988,498,380,302,78,1,0
B,0,409,2091,1032,337,102,26,0
B,4376,10925,7730,4532,1405,424,244,18
B,0,279,8403,24345,13820,4980,1787,175
B,0,355,582,330,195,23,13,0
B,81,630,175,115,132,61,8,0
M,376,4469,2578,876,241,20,77,15
B,558,401,197,92,22,12,2,0
B,3708,3616,2790,1795,820,870,222,4
B,2148,8607,3945,1751,397,120,125,17
B,557,2796,1271,346,165,85,111,13
B,0,1538,5332,6134,5104,2915,349,0
M,1052,3889,4541,2827,1093,391,56,0
B,2422,4686,2006,663,94,0,0,0
B,395,1828,846,195,137,76,95,18
B,28141,25696,1854,207,40,2,0,0
M,11800,17830,5020,3220,1955,331,54,0
B,90,2000,3038,1721,285,100,133,9
B,0,351,3269,2853,417,120,26,0
B,35083,5022,1460,1358,1320,705,73,0
B,524,12663,15401,4881,2365,337,0,0
M,10031,16239,6033,2823,1090,446,2,0
M,540,6111,8015,9187,4208,2019,554,25
B,18670,15716,3970,1668,737,459,4,0
M,11355,15340,12526,3965,624,19,1,0
M,6410,18889,12543,6234,1996,493,115,0
B,5427,2208,706,247,102,51,44,13
B,9842,5493,3464,1465,1491,1209,407,3
B,508,8162,6731,1877,394,6,0,0
M,4528,10894,7041,2453,565,45,0,0
B,314,4377,3106,837,437,338,328,135
B,49,3079,1768,561,74,20,0,0
B,58,710,2552,1312,425,328,245,26
M,1568,8709,7212,4196,1916,978,144,0
B,2164,7903,2588,731,154,33,0,0
M,0,309,3937,4057,1875,1656,592,120
M,5085,12553,9772,9989,3087,1225,524,109
B,2577,1155,810,315,42,6,0,0
B,2,1224,586,330,119,41,7,0
B,372,4075,1452,596,209,138,52,0
M,13820,14733,8156,2416,1275,221,0,0
M,4721,6214,6550,6401,2849,1039,245,2
M,10931,6506,2301,717,160,3,86,13
B,301,1892,7558,5162,1312,291,29,0
B,0,4,1217,5116,2637,905,220,29
M,24330,8461,6350,4207,898,91,206,99
M,13,2619,3440,3028,2814,718,161,41
M,58014,13225,5705,1236,251,24,0,0
M,397,3147,2173,1937,1537,412,11,0
M,2262,1123,435,110,1,0,45,5
B,29,1899,4825,2203,231,88,71,7
B,1380,3867,2180,639,400,277,251,30
B,219,949,539,256,114,63,58,1
B,0,668,562,210,118,46,20,0
B,0,808,3515,1493,346,304,284,175
B,4,2554,7276,4989,1850,638,570,105
M,40388,24198,16412,4963,1268,418,74,0
B,8817,58,0,0,0,0,0,0
B,3603,7772,10905,5285,1258,709,424,39
M,0,4149,8147,4669,2211,1125,393,3
B,0,21,4611,16204,6642,2636,1365,63
M,19078,14573,20457,20269,12309,7573,1843,14
B,38466,12715,1615,846,223,40,3,0
B,957,1260,607,418,206,111,22,0
M,305,3067,9154,6636,1913,918,304,0
M,113,2975,5097,2641,1795,871,428,33
B,0,2624,4236,657,181,149,9,0
B,80,3797,1625,647,27,0,0,0
B,7283,10010,12621,7757,3251,1682,441,33
B,2549,466,371,146,4,0,0,0
B,80,3451,3554,236,2,0,86,12
M,6926,42582,37068,16061,4382,1538,343,18
M,10852,7366,2369,661,48,3,0,0
B,218,949,607,449,222,143,93,12
M,49116,14860,4491,717,169,18,0,0
M,5108,8976,4614,4344,2248,757,181,0
M,0,5178,7443,3928,2885,1673,1112,73
M,0,28,1668,2584,1089,420,17,0
M,15124,32396,20651,10225,6157,5257,2474,20
B,0,17,1757,954,273,192,84,5
M,37828,30798,14263,9703,5815,3862,818,89
B,65,3096,1164,174,113,32,102,8
B,1188,563,74,0,0,0,0,0
B,33882,16487,6122,2546,910,659,89,0
B,0,333,8488,12200,5395,2673,1056,224
B,0,0,737,523,303,137,50,1
B,433,974,538,185,56,4,0,0
B,29639,812,222,55,1,0,0,0
B,1666,7411,10073,6023,673,17,0,0
B,0,469,3715,719,245,0,0,0
B,31506,31033,12851,6120,2106,718,226,0
B,0,504,1648,649,317,125,13,0
B,2045,6949,4307,1512,586,417,304,46
M,0,192,7872,19677,8957,2356,226,0
B,5884,1137,885,456,338,69,0,0
B,1841,819,221,83,38,29,18,0
B,86,1371,2120,1230,301,118,123,17
B,34433,12010,8893,4993,1130,133,2,0
B,2579,2318,657,363,117,29,2,0
B,3705,2516,1322,299,122,70,7,0
B,4465,3836,2275,646,209,81,27,0
M,16,3006,4894,2227,671,366,74,7
B,2669,1589,571,258,81,6,0,0
B,0,2094,5544,1305,381,177,5,0
B,0,1191,3170,1277,461,314,114,12
B,5241,366,214,143,32,12,0,0
M,10377,13748,7274,3309,3109,446,0,0
B,6221,4919,341,77,2,0,0,0
B,1864,5552,2415,687,393,307,244,15
M,19996,11647,4957,2167,1299,1112,252,8
M,0,49,238,108,46,22,19,0
M,8010,17362,7473,2792,992,276,22,0
B,983,1380,772,504,227,119,26,0
B,0,22,1660,1041,58,5,0,0
B,72,920,3786,2014,296,141,134,13
B,1856,5787,3283,932,418,260,203,25
M,43222,65447,24481,7177,3224,1611,44,0
B,0,146,613,462,104,54,12,0
B,6174,8845,2936,696,296,146,48,0
B,220,5763,16737,10449,7474,1140,199,0
B,112142,18164,6449,1970,1610,1165,1346,72
B,1361,1147,238,122,25,2,0,0
B,4349,1438,524,174,182,60,9,0
B,119,1536,3149,1058,164,86,92,21
B,0,0,2931,3373,668,189,97,33
B,1235,402,132,66,36,1,29,8
B,2691,722,311,146,21,0,0,0
B,24565,11293,2579,314,9,0,0,0
M,19,4602,3347,2782,1182,257,3,0
B,0,389,1118,533,566,1230,609,8
M,0,413,1398,903,436,158,66,9
B,23529,47828,60865,29211,14364,3692,395,0
M,111,12949,25575,11816,3881,2527,1139,9
B,27376,30921,21204,10402,7988,3668,1211,20
M,101563,23321,10211,3180,82,0,0,0
B,535,1006,214,87,11,1,0,0
M,27,5291,14030,7110,4373,2395,206,0
M,36131,8230,8290,5071,1929,718,294,35
B,12,534,257,87,36,42,10,3
M,18,3043,4454,2867,1845,1208,121,0
B,0,539,6238,38379,27815,5100,470,18
M,10189,9154,3482,2448,1123,146,0,0
M,10878,17591,12399,12389,3403,375,10,0
B,1134,459,179,109,65,76,21,16
B,27842,1794,664,390,174,138,70,0
B,0,0,120,4693,1164,438,125,0
M,8527,28847,27408,10210,5955,3363,381,17
B,19187,4944,1905,1155,685,366,164,2
B,3972,24360,30471,18125,3084,551,60,0
B,7705,669,132,113,83,2,0,0
B,0,925,2704,1567,696,218,9,0
B,3621,674,35,0,0,0,0,0
B,326,8290,6894,3068,516,132,36,1
M,15802,29614,18731,9934,2335,132,0,0
B,36,2217,1294,327,177,97,18,0
M,19706,28310,18864,5357,1074,169,2,0
B,1881,6057,2477,603,299,227,189,13
B,3268,2946,1367,744,278,19,0,0
B,8627,16602,8510,2501,1083,317,229,63
B,5503,7748,3522,1558,378,40,165,64
B,4265,754,336,106,4,0,0,0
M,45858,11398,4925,2465,1101,387,12,0
B,1254,3527,1794,188,18,5,0,0
B,1672,4931,2553,807,59,3,138,19
B,39229,9344,2306,724,513,185,75,37
M,53370,8892,6224,2040,225,18,0,0
M,4317,25576,13184,3799,1154,251,0,0
B,0,0,27,1527,4422,8089,5710,1102
B,59662,19543,5924,2651,551,17,0,0
M,74478,16466,7725,1439,410,62,38,0
M,0,8644,14701,3648,700,37,0,0
B,0,0,116,919,225,37,39,2
B,301,2432,1615,653,261,76,6,0
M,6907,14274,14497,7183,3313,1063,109,0
B,6688,4716,1665,764,214,63,13,0
B,0,62,3281,4135,2056,1232,1068,93
B,10925,13146,8985,4605,1056,213,64,0
M,0,954,3226,3032,881,540,152,1
B,3536,7693,10760,5168,1202,618,443,23
B,0,13,1195,1613,928,326,236,45
B,6283,14356,9941,3941,1299,662,270,15
M,1407,4757,15267,23970,8119,2117,557,106
B,34041,16492,6557,2472,710,308,107,42
B,19,1000,2667,4607,678,145,163,108
M,1699,4665,4110,1201,400,309,140,0
M,43281,12251,7055,4428,2095,1090,213,0
B,2990,367,64,9,0,0,0,0
B,20053,4208,921,149,59,34,51,1
B,13626,3390,605,104,0,0,0,0
B,2293,623,322,207,26,15,0,0
M,3526,4383,6323,5476,1291,297,40,0
B,0,24,2895,3376,1106,578,101,0
B,0,0,254,3895,9144,550,14,0
M,21444,19469,7709,3304,1012,247,156,10
B,0,66,3360,2631,767,334,98,1
B,23929,10146,962,924,726,701,328,0
B,689,1225,1439,613,220,107,56,0
B,888,1063,1232,885,904,976,523,54
B,0,145,5054,4264,1422,577,258,83
B,443,5966,8368,2113,241,27,148,41
B,7768,4200,2790,1689,814,120,6,0
M,16947,38853,30329,11710,5764,2208,568,0
B,11712,1425,144,22,0,0,77,8
B,11399,733,192,65,69,88,24,0
M,6884,4407,3355,1882,1043,199,101,4
B,0,0,1054,4202,3340,981,160,0
M,154,1878,604,159,32,5,0,0
B,63297,3111,594,528,67,0,0,0
B,5599,4760,2280,493,206,154,88,101
B,6333,23164,45712,46356,35364,13851,3856,391
B,0,4106,1283,215,54,0,0,0
M,672,4231,4556,1171,260,132,69,0
M,14618,5728,5919,1833,708,228,27,0
B,1542,7673,8535,3539,452,169,169,8
B,0,221,9017,16055,5275,892,220,5
B,7593,11651,12350,4990,1097,712,191,4
M,8552,36860,24932,12077,6774,1610,190,0
B,471,2378,1552,1028,684,557,217,18
B,3827,7115,2096,443,250,110,124,16
M,47588,11457,8741,7104,4679,1900,585,31
B,658,1557,1113,659,271,139,49,17
M,23141,17520,6240,2845,1159,429,25,0
M,0,1129,3061,2677,2955,2216,984,90
B,2587,342,70,38,20,10,0,0
M,22417,29229,16478,6096,3909,1651,408,88
B,2446,5343,7532,3654,957,707,416,40
B,2753,3261,614,194,12,0,0,0
B,69,929,850,315,148,20,0,0
B,4154,659,115,3,0,0,0,0
B,28,941,663,414,171,122,26,0
B,26,1838,1040,369,213,131,12,0
B,207,1643,1202,330,282,207,57,0
B,8064,5376,1456,743,196,6,0,0
M,532,4167,2910,1423,490,209,26,0
M,41113,2177,256,39,9,0,0,0
B,22384,17630,7645,2080,242,66,0,0
M,6695,11028,11032,4324,1157,84,33,0
B,105,802,293,163,158,46,1,0
B,0,251,2304,2471,894,123,0,0
B,38994,9284,2187,843,540,104,8,0
B,17,546,287,100,52,36,3,0
B,3443,1124,563,435,225,38,0,0
M,7934,5744,1982,433,79,10,0,0
B,0,1241,1110,890,337,142,1,0
M,9561,15726,14552,6328,2288,1088,338,26
B,0,0,6,3108,14841,8213,869,80
B,112,4385,12300,12882,1585,273,53,0
B,2292,13967,4137,1173,190,3,0,0
B,44563,2622,956,471,100,10,19,7
B,55,1619,1175,441,58,20,2,0
B,19426,46351,59566,26365,12832,2673,100,0
B,20962,1529,157,53,36,13,0,0
B,0,65,1094,2814,1583,901,231,0
M,541,2548,1080,355,210,69,113,15
B,12791,1493,464,150,40,37,11,0
B,1513,3648,1642,711,52,0,0,0
B,0,0,911,12431,8055,530,24,0
B,9,1784,1694,574,331,347,285,50
B,122,2207,4401,1203,71,2,78,9
B,7877,10491,9224,5518,2869,2242,1336,53
B,867,2662,1824,908,143,60,23,0
B,0,28,562,247,122,53,1,0
B,15558,33843,44579,24358,7133,2439,397,30
B,5276,11278,2281,1197,467,147,35,0
B,1642,1548,460,341,79,20,3,0
M,34377,45878,40096,20338,4922,973,126,0
B,2,1984,7051,10059,5845,3264,295,42
B,2983,38762,26071,17071,5494,2357,687,44
M,0,758,6522,3713,2043,1970,777,16
B,24174,10483,3712,2323,2367,960,221,0
B,3032,14069,5690,2948,1808,616,24,0
M,3860,6001,2241,288,25,0,0,0
M,4596,8899,10798,3385,1005,779,117,0
B,3013,648,210,66,12,0,0,0
B,5236,542,345,236,38,52,0,0
B,2750,2732,1146,297,91,43,146,22
B,1,1268,1270,584,558,503,463,168
B,0,0,6,3012,14840,8167,873,78
B,28,760,1964,729,121,71,86,13
M,485,5866,7929,3643,1933,950,128,0
M,40735,18203,3050,460,103,32,0,0
M,7247,11465,5176,4585,1194,463,231,6
B,297,772,508,251,312,125,19,0
B,1954,17582,17311,7611,2914,1055,371,0
M,9825,6832,4161,1839,330,67,0,0
B,0,729,1117,425,191,82,16,1
B,324,2463,4203,1018,118,11,103,35
M,17365,12042,8445,5334,1846,1007,271,14
B,9398,10488,4227,1085,295,157,106,69
B,0,102,2220,6786,2932,815,455,22
B,2926,3884,509,264,146,23,7,0
M,36997,29887,16562,10884,5848,3965,1018,86
B,15531,3099,225,2,0,0,0,0
B,526,12520,17338,8463,2741,746,289,6
B,17,2780,7546,3527,501,69,95,9
M,0,353,4332,7313,4320,933,97,0
M,25145,51073,17029,5637,2199,915,194,0
B,1110,1107,602,285,70,18,33,0
B,0,472,466,184,100,26,0,0
M,7373,12926,6033,2532,1031,698,296,22
B,1157,1364,205,12,0,0,0,0
B,32,895,284,33,25,30,51,9
B,31400,9911,4569,2423,1164,1074,640,760
B,3853,7312,2254,557,444,183,125,16
B,0,195,327,194,73,15,0,0
M,50164,10915,3529,1526,346,19,0,0
M,30347,22181,10020,7694,3320,2891,2455,902
B,91,2026,3050,1813,307,97,87,8
B,0,396,3075,3043,525,353,14,0
M,29888,23496,11323,3057,634,132,1,0
M,14005,10971,4512,1184,192,3,0,0
M,7943,29188,9230,1095,320,179,28,0
B,449,6768,18071,15611,6187,1489,396,0
B,17754,3876,1325,668,80,0,0,0
M,743,9612,5314,2633,568,251,45,7
B,1269,944,392,219,219,31,0,0
B,6647,13999,14788,10091,4613,2825,1585,558
M,11456,15270,10685,5248,1569,754,160,2
M,3055,11674,7849,6140,1603,134,15,0
B,0,0,1028,4407,2218,352,26,0
M,296,43565,68912,45440,7934,1198,66,0
M,473,4085,4793,5387,4471,2022,514,50
B,4689,3835,1950,517,451,450,147,0
M,914,10190,19858,15149,4824,716,15,0
B,263,3873,1451,836,355,251,61,0
B,1176,1400,740,404,288,58,0,0
B,0,204,1235,821,137,95,0,0
M,1080,7488,11036,7887,2948,618,52,0
B,0,0,60,8460,16629,5196,2587,186
B,6640,4664,792,277,20,1,0,0
B,1146,3009,1600,488,104,86,132,22
B,7121,9756,3671,1874,731,558,563,29
B,6117,4096,2895,1862,1552,1133,281,0
B,0,712,384,207,46,19,1,0
M,521,12728,16150,5488,2395,219,0,0
B,172914,3352,5,0,0,0,0,0
B,16118,1856,288,23,67,1,88,12
B,1230,419,217,195,198,18,37,10
B,43820,2042,805,320,24,0,32,5
M,45199,20060,4435,749,85,14,0,0
M,183,3001,4584,1571,544,213,87,5
B,1786,13614,11366,5111,1224,140,3,0
M,551,6883,2737,893,356,119,1,0
B,519,1050,162,136,59,4,0,0
M,1028,7201,13614,12811,9517,7609,2683,0
B,920,1001,230,136,58,3,0,0
B,5834,10946,12360,9504,2085,468,277,3
B,1039,1969,2345,1131,400,235,108,0
B,6,1796,1742,628,343,290,168,43
M,0,0,313,1089,588,531,277,24
B,4372,894,433,190,120,78,158,41
M,1603,6413,14724,23561,8254,2247,526,108
B,261,4194,2335,652,280,99,15,0
B,16,4884,3363,1297,188,99,16,4
M,0,20,3551,7660,3754,1165,160,0
M,33170,8488,2652,1059,73,3,0,0
M,2760,6775,1669,679,16,0,0,0
M,8458,10062,4975,2965,1198,248,46,0
M,104876,16624,9622,6298,3058,675,40,0
B,0,60,1202,5591,5381,1442,571,8
M,15418,20659,18830,8560,2110,209,29,6
M,1199,4653,4016,1033,162,0,0,0
B,0,570,1641,347,46,3,0,0
B,326,676,646,211,131,48,14,0
M,1049,3899,4835,4945,4193,2494,626,0
B,122,2870,6349,4947,2855,938,95,0
B,6400,9823,7204,3286,885,259,210,24
B,10328,3441,420,132,89,54,51,0
M,119789,17775,6710,1068,27,0,0,0
M,47563,56518,18332,5815,4674,4405,242,0
B,0,1411,10331,2315,122,0,0,0
B,18,4880,3273,1114,39,4,23,4
B,701,17516,24304,12032,3780,1060,421,6
B,0,429,4012,6245,1420,447,236,7
B,8,1439,398,37,1,0,47,2
B,72,1938,336,220,203,414,813,81
B,8756,1424,500,206,123,5,0,0
M,16816,19996,8191,1790,550,51,1,0
B,1065,972,400,147,163,103,40,0
B,0,0,169,5861,10584,2228,812,52
B,34436,21301,15935,7549,2468,911,103,0
M,49012,18858,13055,5149,2060,654,141,3
B,8926,1367,498,220,115,106,10,0
B,0,773,1443,512,330,176,62,0
B,34064,25783,2168,167,30,51,255,19
